Source Snippet,Parameter Name,Description,Type,Constraints,Keywords,Confidence Score,Confidence Level,Model Agreement
privileged_2_1.txt,csr_accessibility_mapping_convention,Whether to follow the conventional CSR accessibility encoding scheme,optional,"By convention, not required by standard",by convention,0.10,low,1/10 models
privileged_2_1.txt,csr_accessibility_encoding_bits,Number of bits used for encoding CSR accessibility levels,configurable,Upper 4 bits (csr[11:8]) used in conventional scheme,used to encode,0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_encoding,Encoding scheme for read/write vs read-only CSR classification,configurable,"Bits csr[11:10]: 00,01,10 for read/write; 11 for read-only","indicate, encode",0.10,low,1/10 models
privileged_2_1.txt,csr_minimum_privilege_encoding,Encoding scheme for minimum privilege level required to access CSR,configurable,Bits csr[9:8] encode lowest privilege level,"encode, access",0.10,low,1/10 models
privileged_2_1.txt,csr_privilege_accessibility,Mapping between privilege levels and CSR accessibility,implementation-specific,Must follow encoding in bits csr[9:8] if convention adopted,"lowest privilege level, can access",0.10,low,1/10 models
privileged_2_1.txt,csr_address_width,Number of bits used for the CSR address field.,implementation-specific,"Defined as a 12‑bit space, supporting up to 4096 distinct CSRs.","address space, 4096, 12-bit, up to",0.10,low,1/10 models
privileged_2_1.txt,csr_accessibility_encoding,Encoding of read/write accessibility using the upper 4 bits of the CSR address.,configurable,Bits csr[11:8] encode the accessibility (read/write or read‑only) according to privilege level.,"upper 4 bits, privilege level, read/write accessibility",0.10,low,1/10 models
privileged_2_1.txt,csr_rw_access_code,Encoding that indicates whether a CSR is read/write or read‑only.,implementation-specific,"Values 00, 01, or 10 in csr[11:10] mean read/write; 11 means read‑only.","csr[11:10], read-only, read/write",0.10,low,1/10 models
privileged_2_1.txt,csr_min_privilege_bits,Encoding of the lowest privilege level that may access a CSR.,implementation-specific,Bits csr[9:8] specify the minimum privilege level required to access the CSR.,"csr[9:8], lowest privilege level",0.10,low,1/10 models
privileged_2_1.txt,csr_max_count,Maximum number of distinct CSRs that can be defined.,optional,Maximum of 4096 CSRs (2^12).,"4096, maximum, up to",0.10,low,1/10 models
privileged_2_1.txt,csr_address_mapping_scheme,The scheme used to map CSR addresses to accessibility and privilege requirements.,optional,May be defined by convention; implementations may choose alternative mappings.,"by convention, might, may",0.10,low,1/10 models
privileged_2_1.txt,csr_rw_access_encoding,"The interpretation of CSR bits [11:10] for distinguishing read/write versus read-only registers, which is defined by convention rather than mandated.
",implementation-specific,"When used, the top two bits should encode read/write states as 00, 01, or 10 for registers that allow writes, and 11 for read-only registers, following the conventional mapping.
",By convention,0.10,low,1/10 models
privileged_2_1.txt,csr_accessibility_convention_adherence,"Whether the implementation follows the ""conventional"" R/W and privilege level mapping for CSR addresses.",optional,Uses csr[11:8] to encode accessibility and privilege level.,"By convention, shown in Table 1, Conventional",0.10,low,1/10 models
privileged_2_1.txt,csr_read_only_enforcement,Implementation of the read-only restriction for CSRs where the top two bits (csr[11:10]) are set to 11.,implementation-specific,Bits 11 and 10 must be 11 to indicate read-only status.,"indicate, whether",0.10,low,1/10 models
privileged_2_1.txt,csr_privilege_level_mapping,The mapping of the lowest privilege level allowed to access a CSR based on address bits csr[9:8].,implementation-specific,Encoded in bits 9 and 8 of the CSR address.,"encode, lowest privilege level",0.10,low,1/10 models
privileged_2_1.txt,csr_encoding_space_size,The size of the encoding space reserved for CSRs.,implementation-specific,"['12-bit encoding space (csr[11:0])', 'up to 4,096 CSRs']","sets aside, up to",0.10,low,1/10 models
privileged_2_1.txt,csr_address_mapping_convention,The convention for using the upper bits of the CSR address to encode read/write accessibility and privilege level.,optional,"['upper 4 bits of the CSR address (csr[11:8]) are used', 'top two bits (csr[11:10]) indicate read/write (00,01, or 10) or read-only (11)', 'next two bits (csr[9:8]) encode the lowest privilege level that can access the CSR']","By convention, are used to encode",0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_accessibility_encoding,The encoding scheme within the top two bits (csr[11:10]) of the CSR address to indicate read/write or read-only status.,configurable,"['00, 01, or 10 for read/write', '11 for read-only']",indicate whether,0.10,low,1/10 models
